City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
213,Olutanga,PH,7.3106,122.8464,82.35,72,42,2.55,scattered clouds
214,Nikolskoye,RU,59.7035,30.7861,26.49,81,100,6.02,overcast clouds
215,Udachnyy,RU,66.4167,112.4,-5.04,98,100,2.75,overcast clouds
216,Tigil,RU,57.8,158.6667,-8.28,88,7,0.92,clear sky
217,Guerrero Negro,MX,27.9769,-114.0611,64.72,70,0,0.47,clear sky
218,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.93,99,98,0.76,overcast clouds
219,Tungor,RU,53.3808,142.9564,28.31,77,92,9.1,overcast clouds
220,Aasiaat,GL,68.7098,-52.8699,16.83,91,100,5.79,overcast clouds
221,Bendigo,AU,-36.7667,144.2833,74.26,29,1,7.54,clear sky
222,Bandarbeyla,SO,9.4942,50.8122,81.01,73,76,11.43,broken clouds
223,Ugra,RU,54.7777,34.3267,32.88,90,100,9.64,overcast clouds
224,Bathsheba,BB,13.2167,-59.5167,77.61,94,40,3.44,scattered clouds
225,Zonguldak,TR,41.25,31.8333,51.21,70,100,6.53,overcast clouds
226,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.13,95,100,6.04,heavy intensity rain
227,Avarua,CK,-21.2078,-159.775,82.45,78,93,2.3,light rain
228,Longyearbyen,SJ,78.2186,15.6401,6.64,85,75,3.44,snow
229,Eureka,US,40.8021,-124.1637,49.39,66,100,3.76,overcast clouds
230,Pevek,RU,69.7008,170.3133,-26.66,98,15,3.58,few clouds
231,Portland,US,45.5234,-122.6762,52.38,87,90,3.44,mist
232,Pallasovka,RU,50.05,46.8833,26.1,84,7,9.28,clear sky
233,Miri,MY,4.4148,114.0089,87.94,62,40,9.22,scattered clouds
234,Orocue,CO,4.7912,-71.3354,76.21,87,80,5.5,broken clouds
235,Sesheke,ZM,-17.4759,24.2968,71.98,63,7,10.98,clear sky
236,Maniitsoq,GL,65.4167,-52.9,32.41,98,100,6.33,light snow
237,Mananara,MG,-16.1667,49.7667,81.01,69,94,2.17,overcast clouds
238,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,6.91,clear sky
239,Tautira,PF,-17.7333,-149.15,84.22,75,11,15.95,few clouds
240,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,40,10.31,scattered clouds
241,Cabedelo,BR,-6.9811,-34.8339,79.47,80,8,10.76,clear sky
242,Labrea,BR,-7.2586,-64.7981,74.77,93,92,1.34,light rain
243,Skjervoy,NO,70.0311,20.9714,25.77,62,92,12.84,overcast clouds
244,Margate,GB,51.3813,1.3862,37.11,95,96,5.79,light rain
245,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,67,20,10.36,few clouds
246,Torres,BR,-29.3353,-49.7269,69.42,85,70,3.74,broken clouds
247,Saldanha,ZA,-33.0117,17.9442,59.05,82,37,18.01,scattered clouds
248,Saint-Francois,FR,46.4154,3.9054,36.84,93,75,5.75,broken clouds
249,Kaseda,JP,31.4167,130.3167,61.83,39,0,11.21,clear sky
250,Oyskhara,RU,43.2633,46.2494,28.74,90,34,1.72,scattered clouds
251,Namibe,AO,-15.1961,12.1522,67.51,66,95,7.74,overcast clouds
252,Xiaoweizhai,CN,26.1903,107.5125,58.15,56,41,5.19,scattered clouds
253,Severo-Kurilsk,RU,50.6789,156.125,34.57,88,100,8.03,light rain
254,Bage,BR,-31.3314,-54.1069,65.98,82,90,10.36,overcast clouds
255,Boa Vista,BR,2.8197,-60.6733,80.58,74,40,3.44,scattered clouds
256,Kapoeta,SS,4.7717,33.5903,80.04,51,59,7.92,broken clouds
257,Poum,NC,-20.2333,164.0167,80.38,75,12,10.18,few clouds
258,Srednekolymsk,RU,67.45,153.6833,-36.45,99,27,1.21,scattered clouds
259,Savannah Bight,HN,16.45,-85.85,79.52,75,100,12.77,overcast clouds
260,Nizhniy Tsasuchey,RU,50.5167,115.1333,20.3,73,100,6.64,overcast clouds
261,Oktyabrskiy,RU,54.4815,53.471,22.51,89,86,15.05,overcast clouds
262,Grand Baie,MU,-20.0182,57.5802,81.07,64,2,10.02,clear sky
263,Rokytne,UA,51.2796,27.214,43.39,89,100,9.1,overcast clouds
264,Iracoubo,GF,5.4802,-53.2011,79.0,85,98,9.28,overcast clouds
265,Abu Samrah,SY,35.3029,37.1841,55.56,68,28,3.98,scattered clouds
266,Abu Dhabi,AE,24.4667,54.3667,71.62,88,0,3.44,haze
267,Laguna,US,38.421,-121.4238,55.9,84,1,0.0,clear sky
268,Pochutla,MX,15.7432,-96.4661,73.36,61,90,3.29,overcast clouds
269,Omsukchan,RU,62.5333,155.8,-26.75,97,22,3.24,few clouds
270,Kiboga,UG,0.9161,31.7742,62.04,97,100,1.86,overcast clouds
271,Ribeira Grande,PT,38.5167,-28.7,63.7,63,28,11.81,scattered clouds
272,Jalu,LY,29.0331,21.5482,62.29,67,1,6.13,clear sky
273,Ngunguru,NZ,-35.6167,174.5,65.75,65,34,11.03,scattered clouds
274,Morristown,US,36.214,-83.2949,29.5,80,1,0.0,clear sky
275,Shaunavon,CA,49.6501,-108.4181,38.98,98,76,7.72,broken clouds
276,La Asuncion,VE,11.0333,-63.8628,80.33,89,87,5.75,overcast clouds
277,Tynda,RU,55.1667,124.7167,11.16,89,100,1.68,light snow
278,Chuy,UY,-33.6971,-53.4616,66.22,86,27,11.27,scattered clouds
279,Dandong,CN,40.1292,124.3947,40.3,35,0,3.02,clear sky
280,Novobirilyussy,RU,56.9514,90.6661,9.75,86,96,10.69,overcast clouds
281,Kenai,US,60.5544,-151.2583,8.69,78,90,3.44,mist
282,Nemuro,JP,43.3236,145.575,37.83,57,72,29.59,broken clouds
283,Dakar,SN,14.6937,-17.4441,76.08,79,81,17.11,broken clouds
284,Khandyga,RU,62.6667,135.6,-4.43,85,78,4.5,broken clouds
285,Leshukonskoye,RU,64.8989,45.7622,13.35,97,100,3.42,overcast clouds
286,Bolama,GW,11.5833,-15.4667,80.08,75,98,2.57,overcast clouds
287,Golden,US,39.7555,-105.2211,58.69,15,40,23.02,scattered clouds
288,Batan,CR,10.0844,-83.341,73.9,90,98,3.02,overcast clouds
289,Koregaon,IN,18.65,74.0833,78.28,45,85,6.89,overcast clouds
290,Peniche,PT,39.3558,-9.3811,51.28,77,76,22.32,broken clouds
291,Richards Bay,ZA,-28.783,32.0377,68.05,66,100,8.55,overcast clouds
292,Ust-Kut,RU,56.7938,105.7672,10.27,77,100,7.16,overcast clouds
293,Riga,LV,57.0,24.0833,32.07,93,20,4.61,few clouds
294,Balgazyn,RU,51.0,95.2,13.12,70,71,3.98,broken clouds
295,Cabo San Lucas,MX,22.8909,-109.9124,72.7,79,100,12.17,overcast clouds
296,Aransas Pass,US,27.9095,-97.15,60.8,62,1,6.91,clear sky
297,Aswan,EG,24.0934,32.907,69.64,34,40,6.8,scattered clouds
298,Russkaya Polyana,UA,49.417,31.9201,45.16,89,100,22.53,light rain
299,Clacton-On-Sea,GB,51.7897,1.156,34.79,97,100,19.46,overcast clouds
300,Ulaangom,MN,49.9811,92.0667,21.22,58,92,5.84,overcast clouds
301,Pleasanton,US,37.6624,-121.8747,55.15,71,1,0.0,clear sky
302,Makakilo City,US,21.3469,-158.0858,77.32,58,1,4.61,clear sky
303,San Vicente,AR,-26.6167,-54.1333,56.26,99,6,1.79,clear sky
304,Antofagasta,CL,-23.65,-70.4,60.08,79,78,2.24,broken clouds
305,Lesnoy,RU,57.6198,63.0784,30.87,83,100,16.04,overcast clouds
306,Tiksi,RU,71.6872,128.8694,-2.16,96,100,5.03,overcast clouds
307,Baiyin,CN,36.5583,104.2081,38.28,43,0,2.24,clear sky
308,Krasnoarmeysk,RU,51.0239,45.6969,27.16,96,20,9.01,few clouds
309,Tongchuan,CN,35.0806,109.0897,49.33,44,99,8.72,overcast clouds
310,Tsaratanana,MG,-16.7833,47.65,77.36,74,100,5.68,overcast clouds
311,Barinas,VE,8.6226,-70.2075,64.09,84,76,3.06,broken clouds
312,Necochea,AR,-38.5473,-58.7368,52.11,93,2,11.1,clear sky
313,Camacha,PT,33.0833,-16.3333,58.42,67,40,13.8,scattered clouds
314,Jinchang,CN,38.4953,102.1739,46.06,15,0,2.64,clear sky
315,Tambacounda,SN,13.7539,-13.7586,73.45,60,0,2.3,clear sky
316,Carnarvon,AU,-24.8667,113.6333,102.27,10,0,10.36,clear sky
317,Manbij,SY,36.5281,37.9549,43.57,79,40,1.48,scattered clouds
318,Merauke,ID,-8.4667,140.3333,86.56,64,98,11.21,overcast clouds
319,Pombas,CV,17.1503,-25.0201,73.18,75,37,12.03,scattered clouds
320,Alta Floresta,BR,-9.8756,-56.0861,70.97,98,70,2.06,broken clouds
321,Broken Hill,AU,-31.95,141.4333,73.11,38,75,21.85,broken clouds
322,Coquimbo,CL,-29.9533,-71.3436,58.73,88,40,5.75,scattered clouds
323,Atmakur,IN,15.8833,78.5833,81.48,50,72,9.42,broken clouds
324,Staryy Nadym,RU,65.6118,72.6842,-4.25,93,68,10.36,broken clouds
325,Port-Cartier,CA,50.0334,-66.8654,41.22,98,100,5.1,overcast clouds
326,Polyarnyy,RU,69.1989,33.4478,-14.33,74,100,5.32,overcast clouds
327,Sept-Iles,CA,50.2001,-66.3821,41.52,100,90,10.36,mist
328,Lamu,KE,-2.2717,40.902,80.82,79,73,5.1,light rain
329,Iskateley,RU,67.6803,53.1512,1.31,91,100,5.73,overcast clouds
330,Sao Filipe,CV,14.8961,-24.4956,77.04,75,6,7.78,clear sky
331,Loukhi,RU,66.0764,33.0381,9.28,97,95,3.62,overcast clouds
332,Qiyang,CN,26.5911,111.8474,63.82,47,0,5.91,clear sky
333,Strezhevoy,RU,60.7333,77.5889,4.98,95,100,11.3,light snow
334,Danielskuil,ZA,-28.1887,23.5395,61.32,76,64,29.26,broken clouds
335,Key Largo,US,25.0865,-80.4473,66.2,71,16,10.89,few clouds
336,Faya,SA,18.3851,42.4509,53.71,64,0,0.85,clear sky
337,Jinxiang,CN,27.4327,120.6062,60.6,74,99,16.98,overcast clouds
338,Mahebourg,MU,-20.4081,57.7,80.89,65,20,10.36,few clouds
339,Axim,GH,4.8699,-2.2405,78.28,87,49,5.73,scattered clouds
340,Hofn,IS,64.2539,-15.2082,30.33,36,93,5.3,overcast clouds
341,Purranque,CL,-40.9167,-73.1667,52.93,88,97,4.21,overcast clouds
342,Souillac,MU,-20.5167,57.5167,80.98,65,20,10.36,few clouds
343,Isa Khel,AF,36.6702,68.8443,51.19,50,32,2.04,scattered clouds
344,Nha Trang,VN,12.25,109.1833,71.6,98,100,8.23,heavy intensity rain
345,Taksimo,RU,56.3444,114.8794,13.66,80,54,2.1,broken clouds
