City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Wuwei,CN,2021-11-23 18:08:00,37.9281,102.6414,32.04,22,1,1.79
196,Bontang,ID,2021-11-23 18:08:00,0.1333,117.5,79.39,85,88,5.3
197,Nanakuli,US,2021-11-23 18:08:00,21.3906,-158.1547,78.75,76,1,3.44
198,Tahta,EG,2021-11-23 18:08:01,26.7693,31.5021,67.93,38,3,7.43
199,Changtu,CN,2021-11-23 18:08:01,42.7788,124.0955,14.97,66,0,9.06
200,Barabai,ID,2021-11-23 18:08:02,-2.5833,115.3833,74.26,99,99,0.72
201,Yulara,AU,2021-11-23 18:08:02,-25.2406,130.9889,66.69,56,65,16.24
202,Ghanzi,BW,2021-11-23 18:08:03,-21.5667,21.7833,78.78,12,11,5.79
203,Paciran,ID,2021-11-23 18:08:03,-6.8767,112.3761,78.85,86,100,12.06
204,Dinguiraye,GN,2021-11-23 18:08:03,11.3,-10.7167,80.92,29,6,1.01
205,Komsomolskiy,UZ,2021-11-23 18:08:04,40.4272,71.7189,40.42,33,91,4.21
206,Namibe,AO,2021-11-23 18:08:04,-15.1961,12.1522,71.49,73,35,7.23
207,Sao Joao Da Barra,BR,2021-11-23 18:04:32,-21.6403,-41.0511,84.29,75,72,10.31
208,Quirinopolis,BR,2021-11-23 18:08:05,-18.4483,-50.4517,87.37,56,84,1.3
209,Ouesso,CG,2021-11-23 18:08:05,1.6136,16.0517,76.21,78,90,2.13
210,Tucuman,AR,2021-11-23 18:08:06,-26.8241,-65.2226,66.2,100,90,9.22
211,Prince Albert,CA,2021-11-23 18:04:32,53.2001,-105.7677,28.89,91,42,9.8
212,Sabha,LY,2021-11-23 18:08:06,27.0377,14.4283,69.46,28,97,1.07
213,Adrar,MR,2021-11-23 18:08:07,20.5022,-10.0711,83.46,27,92,5.66
214,Las Palmas,ES,2021-11-23 18:08:07,28.4204,-14.0131,68.79,73,20,4.61
215,La Sarre,CA,2021-11-23 18:08:08,48.8002,-79.1996,22.1,78,93,4.36
216,Geraldton,AU,2021-11-23 18:08:08,-28.7667,114.6,59.41,77,0,11.5
217,Savannah Bight,HN,2021-11-23 18:08:08,16.45,-85.85,84.25,76,78,17.4
